date,temp_max,temp_min
2024-06-11,73.0,59.0
2024-06-12,76.0,61.0
2024-06-13,84.0,65.0
2024-06-14,85.0,65.0
2024-06-15,80.0,65.0
2024-06-16,78.0,63.0
2024-06-17,83.0,65.0
2024-06-18,86.0,71.0
2024-06-19,89.0,72.0
2024-06-20,91.0,72.0
2024-06-21,94.0,76.0
2024-06-22,93.0,75.0
2024-06-23,92.0,73.0
2024-06-24,80.0,72.0
2024-06-25,90.0,69.0
2024-06-26,93.0,70.0
2024-06-27,84.0,67.0
2024-06-28,79.0,64.0
2024-06-29,79.0,66.0
2024-06-30,85.0,70.0
2024-07-01,81.0,64.0
2024-07-02,86.0,66.0
2024-07-03,83.0,69.0
2024-07-04,89.0,70.0
2024-07-05,90.0,74.0
2024-07-06,92.0,73.0
2024-07-07,93.0,79.0
2024-07-08,95.0,77.0
2024-07-09,89.0,75.0
2024-07-10,91.0,78.0
2024-07-11,89.0,75.0
2024-07-12,84.0,72.0
2024-07-13,87.0,72.0
2024-07-14,90.0,75.0
2024-07-15,91.0,73.0
2024-07-16,94.0,78.0
2024-07-17,90.0,72.0
2024-07-18,86.0,72.0
2024-07-19,83.0,67.0
2024-07-20,83.0,71.0
2024-07-21,88.0,73.0
2024-07-22,84.0,71.0
2024-07-23,81.0,71.0
2024-07-24,81.0,73.0
2024-07-25,83.0,72.0
2024-07-26,84.0,67.0
2024-07-27,87.0,69.0
