Timestamp,PM2.5(µg/m³),Temperature_Fahrenheit,Relative_Humidity
2024-06-11 10:30:00,0,75.38,47.4
2024-06-11 11:30:00,0,75.38,47.2
2024-06-11 12:30:00,0,75.56,47.1
2024-06-11 13:30:00,0,75.02,45.6
2024-06-11 14:30:00,0,74.84,47.7
2024-06-11 15:30:00,0,74.66,47.8
2024-06-11 16:30:00,0,75.38,47.7
2024-06-11 17:30:00,0,75.02,45.5
2024-06-11 18:30:00,0,74.84,48.0
2024-06-11 19:30:00,0,74.84,48.6
2024-06-11 20:30:00,0,74.66,48.8
2024-06-11 21:30:00,0,75.2,48.4
2024-06-11 22:30:00,0,75.2,48.7
2024-06-11 23:30:00,0,75.02,48.8
2024-06-12 00:30:00,0,74.84,49.1
2024-06-12 01:30:00,0,75.2,48.7
2024-06-12 02:30:00,1,75.02,48.8
2024-06-12 03:30:00,0,74.84,48.9
2024-06-12 04:30:00,0,75.02,48.7
2024-06-12 05:30:00,0,74.84,48.8
2024-06-12 06:30:00,0,74.66,49.0
2024-06-12 07:30:00,0,75.02,48.7
2024-06-12 08:30:00,0,75.2,48.6
2024-06-12 09:30:00,0,75.2,48.6
2024-06-12 10:30:00,0,75.02,48.7
2024-06-12 11:30:00,0,75.2,48.5
2024-06-12 12:30:00,0,75.38,48.5
2024-06-12 13:30:00,0,75.56,48.6
2024-06-12 14:30:00,0,74.84,48.5
2024-06-12 15:30:00,0,75.56,48.8
2024-06-12 16:30:00,0,75.2,49.3
2024-06-12 17:30:00,0,75.74,48.7
2024-06-12 18:30:00,0,75.02,49.0
2024-06-12 19:30:00,0,75.74,49.1
2024-06-12 20:30:00,0,75.38,49.4
2024-06-12 21:30:00,0,75.38,49.8
2024-06-12 22:30:00,0,75.38,49.9
2024-06-12 23:30:00,0,75.2,50.1
2024-06-13 00:30:00,0,75.02,50.6
2024-06-13 01:30:00,0,74.84,51.1
2024-06-13 02:30:00,0,74.48,51.6
2024-06-13 03:30:00,1,75.2,50.9
2024-06-13 04:30:00,1,75.02,51.0
2024-06-13 05:30:00,1,74.84,51.2
2024-06-13 06:30:00,1,74.48,51.9
2024-06-13 07:30:00,1,75.38,50.8
2024-06-13 08:30:00,1,75.38,50.8
2024-06-13 09:30:00,1,75.2,51.0
2024-06-13 10:30:00,1,75.38,50.8
2024-06-13 11:30:00,1,75.56,50.6
2024-06-13 12:30:00,1,75.56,50.7
2024-06-13 13:30:00,1,75.02,50.6
2024-06-13 14:30:00,1,75.74,50.8
2024-06-13 15:30:00,1,75.74,50.6
2024-06-13 16:30:00,0,75.02,47.7
2024-06-13 17:30:00,0,75.56,50.4
2024-06-13 18:30:00,0,75.74,49.8
2024-06-13 19:30:00,0,74.84,47.1
2024-06-13 20:30:00,0,75.2,51.1
2024-06-13 21:30:00,0,74.84,51.9
2024-06-13 22:30:00,0,75.38,52.1
2024-06-13 23:30:00,0,75.56,52.3
2024-06-14 00:30:00,1,76.1,57.3
2024-06-14 01:30:00,1,76.1,59.0
2024-06-14 02:30:00,1,76.1,57.9
2024-06-14 03:30:00,1,76.1,57.0
2024-06-14 04:30:00,1,76.1,56.4
2024-06-14 05:30:00,1,76.1,55.9
2024-06-14 06:30:00,2,76.1,55.6
2024-06-14 07:30:00,1,76.1,55.8
2024-06-14 08:30:00,1,76.28,56.3
2024-06-14 09:30:00,1,76.46,56.2
2024-06-14 10:30:00,4,77.0,57.7
2024-06-14 11:30:00,10,78.08,60.8
2024-06-14 12:30:00,3,77.72,56.2
2024-06-14 13:30:00,1,75.56,51.1
2024-06-14 14:30:00,2,77.0,53.1
2024-06-14 15:30:00,3,77.9,53.8
2024-06-14 16:30:00,3,76.28,50.6
2024-06-14 17:30:00,1,76.1,51.3
2024-06-14 18:30:00,1,76.1,53.8
2024-06-14 19:30:00,1,75.74,54.0
2024-06-14 20:30:00,0,75.56,54.9
2024-06-14 21:30:00,0,75.92,56.5
2024-06-14 22:30:00,0,75.92,55.9
2024-06-14 23:30:00,1,75.56,56.6
2024-06-15 00:30:00,0,75.56,56.8
2024-06-15 01:30:00,0,77.0,58.0
2024-06-15 02:30:00,1,77.0,58.1
2024-06-15 03:30:00,0,76.82,57.0
2024-06-15 04:30:00,0,76.82,56.6
2024-06-15 05:30:00,0,76.64,56.3
2024-06-15 06:30:00,0,76.46,56.2
2024-06-15 07:30:00,0,76.64,55.8
2024-06-15 08:30:00,1,76.64,55.8
2024-06-15 09:30:00,2,76.46,55.7
2024-06-15 10:30:00,6,76.46,56.1
2024-06-15 11:30:00,2,76.64,56.4
2024-06-15 12:30:00,1,75.2,49.0
2024-06-15 13:30:00,0,75.38,49.1
2024-06-15 14:30:00,1,76.46,51.1
2024-06-15 15:30:00,0,75.92,50.5
2024-06-15 16:30:00,0,75.74,52.8
2024-06-15 17:30:00,0,75.92,50.7
2024-06-15 18:30:00,0,75.92,50.1
2024-06-15 19:30:00,0,75.74,45.8
2024-06-15 20:30:00,0,75.92,50.1
2024-06-15 21:30:00,0,76.1,51.1
2024-06-15 22:30:00,0,76.1,53.2
2024-06-15 23:30:00,0,78.08,60.5
2024-06-16 00:30:00,0,75.74,53.0
2024-06-16 01:30:00,0,77.72,55.9
2024-06-16 02:30:00,0,77.36,54.1
2024-06-16 03:30:00,0,77.0,53.3
2024-06-16 04:30:00,0,76.82,52.6
2024-06-16 05:30:00,0,76.64,51.9
2024-06-16 06:30:00,0,76.46,51.4
2024-06-16 07:30:00,0,76.46,50.9
2024-06-16 08:30:00,0,76.46,51.1
2024-06-16 09:30:00,0,75.56,50.0
2024-06-16 10:30:00,0,76.1,49.9
2024-06-16 11:30:00,0,75.2,51.8
2024-06-16 12:30:00,0,75.56,51.9
2024-06-16 13:30:00,0,75.92,51.3
2024-06-16 14:30:00,1,75.2,52.3
2024-06-16 15:30:00,0,75.2,50.9
2024-06-16 16:30:00,0,75.56,52.5
